product_id,product_name,product_type,category_id,list_price,is_active
1,Cross-platform multi-state service-desk Lite,Professional Services,9,2277.01,True
2,De-engineered demand-driven success Enterprise,SaaS Subscription,4,37464.94,False
3,Automated logistical info-mediaries Pro,Hardware,8,8735.06,True
4,Universal multi-state budgetary management Pro,Hardware,6,39909.1,True
5,Adaptive fault-tolerant analyzer Lite,SaaS Subscription,7,7705.7,False
6,Synergized radical array Enterprise,Software License,3,4408.93,False
7,Managed maximized analyzer Enterprise,Professional Services,10,7584.33,False
8,Customer-focused multi-state throughput Lite,Professional Services,5,33508.62,False
9,Switchable value-added function Lite,Software License,2,22365.62,True
10,Ameliorated object-oriented task-force Lite,Professional Services,5,23113.37,True
11,Integrated scalable database Enterprise,Professional Services,8,5779.34,False
12,Inverse dedicated core Lite,SaaS Subscription,5,1586.01,False
13,Horizontal even-keeled monitoring Lite,Hardware,10,43320.84,True
14,Intuitive zero administration intranet Ultimate,SaaS Subscription,4,30549.72,True
15,Synchronized bottom-line flexibility Enterprise,Software License,10,12906.03,True
16,Distributed cohesive focus group Pro,Hardware,5,39536.22,True
17,Customizable 24/7 process improvement Lite,Software License,2,45526.58,True
18,Realigned multimedia benchmark Ultimate,Software License,4,7041.91,True
19,Expanded needs-based hardware Lite,Software License,5,45745.42,False
20,Reactive foreground flexibility Lite,SaaS Subscription,2,23682.4,True
21,Digitized tertiary website Enterprise,Software License,7,48379.85,True
22,Horizontal object-oriented encryption Pro,Professional Services,1,13590.7,True
23,Down-sized asynchronous function Ultimate,SaaS Subscription,5,29435.72,True
24,Seamless global moratorium Pro,Software License,8,1738.72,True
25,Organic actuating capacity Enterprise,Hardware,8,45514.69,True
26,Assimilated methodical service-desk Ultimate,Hardware,3,2744.67,True
27,Business-focused bi-directional info-mediaries Lite,Professional Services,2,5311.0,True
28,Business-focused background interface Ultimate,Professional Services,6,33689.07,False
29,Object-based context-sensitive strategy Enterprise,Professional Services,2,41767.81,False
30,Right-sized optimizing product Lite,Hardware,6,11254.85,False
31,Team-oriented tangible knowledge user Enterprise,SaaS Subscription,2,49055.92,True
32,Seamless heuristic function Lite,Hardware,7,14156.13,True
33,Managed dedicated structure Ultimate,Hardware,4,32264.37,True
34,Virtual static workforce Pro,SaaS Subscription,4,49446.63,True
35,Public-key attitude-oriented system engine Pro,Software License,10,11189.59,True
36,Virtual maximized open system Lite,Software License,10,640.36,True
37,De-engineered background website Enterprise,SaaS Subscription,3,5941.35,True
38,Total maximized attitude Enterprise,Hardware,6,39604.24,True
39,Persevering fault-tolerant software Lite,Hardware,3,13635.69,True
40,Stand-alone tertiary throughput Ultimate,Hardware,2,24074.18,True
41,Persistent methodical emulation Pro,Professional Services,9,11466.71,True
42,Face-to-face client-server pricing structure Lite,Professional Services,1,3510.86,False
43,Fundamental high-level infrastructure Ultimate,Professional Services,2,24768.31,False
44,Enterprise-wide tangible secured line Pro,Hardware,6,30610.72,True
45,Managed zero tolerance Graphic Interface Enterprise,SaaS Subscription,10,31837.3,True
46,Persevering mobile algorithm Ultimate,SaaS Subscription,8,25524.78,False
47,Cloned methodical budgetary management Pro,Hardware,9,36181.58,True
48,Monitored mission-critical Local Area Network Ultimate,Professional Services,4,20983.77,False
49,Down-sized executive throughput Ultimate,Professional Services,2,15971.14,True
50,Monitored real-time orchestration Lite,SaaS Subscription,3,34497.64,False
